univ_id,year,province,univ_type,ai_adopt,strat_gov,org_learn,dig_cap,univ_scale,fin_invest,prof_ratio
10006,2023,24,3,3.6631,3.9957,3.938,4.488,9.6194,12.2142,0.4506
10006,2024,24,3,4.0558,4.1999,3.5106,4.3608,9.484,11.2819,0.4331
10006,2025,24,3,3.8118,4.4112,3.4212,4.5205,9.4738,13.9925,0.4639
10007,2020,7,1,4.9047,4.1021,3.7355,5,10.7966,17.3944,0.5656
10007,2021,7,1,4.3809,4.5088,4.2888,5,10.7959,16.1433,0.5899
10007,2022,7,1,4.2697,4.7172,4.9405,5,11.0637,18.0766,0.5627
10007,2023,7,1,4.75,5,4.8063,5,11.0215,18.8027,0.5755
10007,2024,7,1,4.6126,4.7067,4.9274,5,10.9836,19.0467,0.567
10007,2025,7,1,5,5,5,5,10.9973,19.9357,0.5787
10008,2020,16,2,3.5569,3.6282,3.4632,3.642,9.4133,10.6114,0.4552
10008,2021,16,2,3.9255,4.0182,3.4513,4.2105,9.2644,12.4182,0.449
10008,2022,16,2,3.94,4.1262,3.9981,4.7098,9.2157,10.0418,0.4636
10008,2023,16,2,4.0688,4.4337,3.9197,4.3596,9.094,10.4999,0.4042
10008,2024,16,2,4.1384,4.0758,3.7438,4.6542,9.3027,10.9428,0.4408
10008,2025,16,2,4.4383,4.6602,4.2616,5,9.1897,10.8761,0.433
10009,2020,7,3,3.1085,3.8981,3.2617,3.8114,8.6209,7.9999,0.4084
10009,2021,7,3,3.2903,3.716,3.3208,4.4115,8.7142,11.1748,0.425
10009,2022,7,3,3.7739,3.8907,3.3508,3.9943,8.7484,9.5464,0.4356
10009,2023,7,3,3.7596,3.7489,3.6373,4.0728,8.915,9.101,0.4335
10009,2024,7,3,4.3707,3.7926,3.8915,3.9801,8.8861,10.1016,0.4405
10009,2025,7,3,4.2772,3.8443,3.9373,4.9026,9.0028,10.1469,0.4425
10010,2020,18,3,3.0506,3.1371,2.7915,3.8592,8.7065,6.0946,0.4026
10010,2021,18,3,3.377,3.3094,2.7999,3.6053,8.7941,5.2764,0.4042
10010,2022,18,3,3.6041,3.9011,3.3612,4.0486,8.6902,5.5974,0.407
10010,2023,18,3,3.3005,3.3868,3.8027,3.9656,8.6482,3.8623,0.3906
10010,2024,18,3,3.1247,3.6852,3.996,4.1305,8.7339,6.9455,0.3776
10010,2025,18,3,3.9235,3.9181,4.0526,4.2866,8.7364,7.7508,0.3831
10011,2020,17,1,3.6939,4.3035,3.9006,4.9433,10.6961,12.0025,0.5648
10011,2021,17,1,3.9229,3.9813,4.3274,4.9309,10.5545,11.8575,0.5909
10011,2022,17,1,4.4016,4.5456,4.0776,5,10.6594,11.8542,0.5702
10011,2023,17,1,4.664,5,4.4819,5,10.7634,12.7916,0.5463
10011,2024,17,1,4.5969,5,4.5739,5,10.6266,13.6195,0.5919
10011,2025,17,1,5,4.8215,4.9809,5,10.6646,12.4181,0.5873
10012,2020,10,2,3.2634,3.6734,3.503,4.3034,9.0817,6.9407,0.4957
10012,2021,10,2,4.0664,3.9612,3.5876,4.1985,8.9603,7.7047,0.4704
10012,2022,10,2,3.3963,3.4388,3.5504,3.9488,8.8866,9.4335,0.4806
10012,2023,10,2,3.7754,3.8054,3.8164,4.4456,9.0315,9.9837,0.4749
10012,2024,10,2,3.9843,3.9826,4.1155,4.6401,9.0306,8.2546,0.4735
10012,2025,10,2,4.5692,4.6933,4.8047,4.7825,9.1432,10.9675,0.453
10013,2020,27,3,3.1503,3.9438,3.103,3.9881,8.7989,13.1217,0.3678
10013,2021,27,3,3.9026,3.5083,3.2241,4.0241,8.9824,12.6736,0.3908
10013,2022,27,3,3.6125,3.8378,3.7472,4.2324,9.0814,13.8294,0.3787
10013,2023,27,3,3.2668,4.0215,3.9905,4.374,8.9712,15.5049,0.3776
10013,2024,27,3,4.3955,3.8543,3.8758,4.515,8.8608,15.943,0.3835
10013,2025,27,3,4.8545,4.3247,4.1048,4.9598,8.7907,15.4699,0.3868
10014,2020,3,2,3.7419,3.7239,3.5697,3.761,9.8926,6.2644,0.3819
10014,2021,3,2,3.5832,3.7782,3.7081,4.5077,10.2152,7.4621,0.414
10014,2022,3,2,3.8292,3.4965,3.7304,4.5817,10.0515,7.2354,0.3985
10014,2023,3,2,3.9197,3.5703,4.1259,4.6267,10.0332,8.255,0.4083
10014,2024,3,2,4.3797,4.2853,4.1517,4.656,9.9868,7.3199,0.368
10014,2025,3,2,4.3307,4.0489,4.37,4.5652,10.049,8.1324,0.4191
10015,2020,21,3,3.2391,3.6856,2.7889,3.0205,7.4415,10.143,0.3961
10015,2021,21,3,2.7152,3.3304,3.1996,3.7675,7.4676,10.4577,0.4354
10015,2022,21,3,3.4293,3.2584,3.6914,3.9388,7.2662,12.3511,0.4344
10015,2023,21,3,3.8651,3.751,3.4927,4.1577,7.6017,12.5158,0.4617
10015,2024,21,3,4.0414,3.8263,3.4989,4.5572,7.545,10.1849,0.4435
10015,2025,21,3,3.8662,3.945,4.002,4.411,7.5809,11.4342,0.4643
10016,2020,18,3,3.3758,2.8892,3.2464,3.6654,8.6438,9.5398,0.3741
10016,2021,18,3,3.5948,3.4512,3.1983,3.4245,8.5137,10.037,0.3907
10016,2022,18,3,3.1445,3.4023,3.1676,4.345,8.5212,10.2454,0.3598
10016,2023,18,3,3.7126,3.3499,3.5092,4.664,8.5524,9.1077,0.4004
10016,2024,18,3,4.1722,3.622,3.5901,3.8511,8.5726,11.0123,0.3971
10016,2025,18,3,3.9589,3.7195,3.9492,4.8229,8.5992,11.6636,0.4063
10017,2020,22,1,3.976,4.2915,3.6555,5,11.082,15.5021,0.4691
10017,2021,22,1,5,4.5581,4.3327,5,11.1504,14.7128,0.4953
10017,2022,22,1,4.5997,4.6183,4.1512,5,11.1086,14.1119,0.5183
10017,2023,22,1,4.6182,5,4.7736,5,11.0002,15.6151,0.488
10017,2024,22,1,4.5692,4.8552,5,5,11.178,14.7176,0.4911
10017,2025,22,1,5,5,4.6097,5,11.3204,14.5115,0.5277
10018,2020,22,2,3.5199,3.7579,3.514,4.3608,9.4004,11.0735,0.4029
10018,2021,22,2,3.5904,3.6782,3.3057,4.4865,9.3891,10.8289,0.3913
10018,2022,22,2,3.4457,4.3618,3.8242,4.4509,9.292,11.1728,0.4169
10018,2023,22,2,4.1079,4.1994,4.1087,4.823,9.3097,11.9475,0.3877
10018,2024,22,2,3.7867,4.115,4.4369,4.741,9.4955,10.3066,0.3666
10018,2025,22,2,4.458,4.3147,4.582,4.7804,9.3895,13.582,0.4026
10019,2020,7,1,4.4298,4.7323,4.2291,4.9917,10.5683,19.1642,0.5368
10019,2021,7,1,4.4783,5,4.465,5,10.826,20.4023,0.5734
10019,2022,7,1,5,4.5773,4.1985,5,10.4721,18.662,0.5904
10019,2023,7,1,4.6996,5,4.8665,5,10.6184,19.8955,0.5599
10019,2024,7,1,4.6903,4.9136,4.8508,5,10.4674,20.2343,0.563
10019,2025,7,1,5,5,5,5,10.643,20.7877,0.581
10020,2020,23,2,3.7762,3.9544,3.0833,3.9697,9.6692,12.0035,0.5025
10020,2021,23,2,4.1578,4.1851,3.7619,4.3743,9.6773,11.8602,0.5195
10020,2022,23,2,4.4705,4.1896,3.4658,4.6282,9.6868,13.1344,0.5183
10020,2023,23,2,4.5628,4.0607,4.0093,4.5638,9.8501,11.2,0.5247
10020,2024,23,2,4.3778,4.6883,4.7878,5,9.5511,11.0947,0.5065
10020,2025,23,2,4.3823,4.8233,3.8652,5,9.5916,13.2718,0.5342
10021,2020,13,2,3.5619,3.4931,3.5651,4.1901,9.8967,9.1394,0.5175
10021,2021,13,2,3.7462,3.8101,3.8025,4.0416,9.4582,8.0498,0.5473
10021,2022,13,2,3.3099,4.0272,3.8781,4.5209,9.9146,8.8632,0.5273
10021,2023,13,2,3.5035,4.0884,4.0633,4.5706,9.8261,10.6477,0.5377
10021,2024,13,2,3.7305,4.5725,4.301,5,9.7357,10.2744,0.5444
10021,2025,13,2,4.6624,4.4452,4.2621,4.7772,9.8518,9.2512,0.5416
10022,2020,12,2,3.8277,3.2174,3.2867,3.7981,9.0534,8.3028,0.4005
10022,2021,12,2,3.6541,3.6277,3.708,4.1046,9.1101,10.1415,0.4053
10022,2022,12,2,3.6574,3.764,3.7122,4.511,9.0332,9.1775,0.4272
10022,2023,12,2,3.5948,3.8469,3.6913,4.8705,9.0962,8.5184,0.4021
10022,2024,12,2,4.6028,4.469,4.1404,5,9.1349,9.7853,0.4086
10022,2025,12,2,4.4829,4.1552,4.1933,5,9.2244,10.5022,0.4107
10023,2020,10,1,4.2203,4.5959,3.2895,5,10.3328,12.4105,0.4921
10023,2021,10,1,4.5333,4.3645,4.4085,5,10.2967,13.2979,0.5119
10023,2022,10,1,4.4428,4.661,4.3641,5,10.4321,12.9387,0.5112
10023,2023,10,1,4.2143,4.7113,4.4286,5,10.4165,11.7357,0.5021
10023,2024,10,1,5,4.7905,4.5642,5,10.3879,13.2492,0.4837
10023,2025,10,1,4.815,5,4.751,5,10.4669,14.7693,0.5035
10024,2020,31,3,2.6193,3.3601,2.5898,3.558,9.5453,3.8775,0.3781
10024,2021,31,3,3.4001,3.2712,3.2145,3.5293,9.5667,3.6336,0.3873
10024,2022,31,3,4.1225,2.5792,3.347,4.0807,9.4594,4.4239,0.3733
10024,2023,31,3,3.244,3.4301,3.6503,4.0981,9.4081,4.1142,0.3734
10024,2024,31,3,3.9091,4.0109,3.4743,3.9727,9.4622,4.1981,0.3865
10024,2025,31,3,3.6947,3.4603,3.6995,4.6097,9.5284,3.6417,0.3805
10025,2020,6,2,3.3638,3.8598,3.6006,4.1421,8.7072,9.6021,0.4474
10025,2021,6,2,3.7163,3.7556,3.6335,4.5081,8.7411,10.7071,0.4587
10025,2022,6,2,3.9087,3.6659,3.6117,4.7165,8.9034,12.4004,0.4787
10025,2023,6,2,4.1832,4.0861,4.0068,4.9491,8.7013,11.2043,0.4492
10025,2024,6,2,4.4299,4.2561,4.1449,4.2748,8.8789,11.7798,0.4416
10025,2025,6,2,4.2419,4.4982,4.4644,5,8.5245,11.6307,0.4279
10026,2020,10,2,3.8414,3.9135,3.5175,3.8115,9.3633,8.5372,0.4751
10026,2021,10,2,3.9893,3.787,3.8408,4.1395,9.3206,8.0645,0.4706
10026,2022,10,2,3.6151,3.9648,3.5905,4.394,9.4946,7.413,0.4888
10026,2023,10,2,3.9697,4.0503,4.043,5,9.4722,9.2198,0.494
10026,2024,10,2,3.7731,4.2402,4.0908,5,9.3267,9.5486,0.499
10026,2025,10,2,3.9754,4.3699,4.3687,5,9.3372,10.4695,0.4912
10027,2020,7,2,3.4461,3.8253,3.5105,4.4816,9.4014,11.5527,0.4003
10027,2021,7,2,3.6383,3.9195,3.6937,3.8006,9.4363,12.3958,0.4052
10027,2022,7,2,3.9792,4.195,4.449,4.3468,9.5441,13.3096,0.4096
10027,2023,7,2,4.319,4.7127,4.2771,5,9.4357,12.7221,0.4222
10027,2024,7,2,4.1589,4.4464,4.2302,4.9547,9.5543,13.4044,0.4254
10027,2025,7,2,5,4.2703,4.6199,5,9.5376,13.5819,0.4081
10028,2020,20,2,3.2446,3.6227,3.42,4.0692,8.8939,13.1536,0.5521
10028,2021,20,2,3.732,3.5403,4.0043,4.2964,9.0304,12.3582,0.5534
10028,2022,20,2,4.3808,4.1744,3.9199,4.2073,8.8901,14.6455,0.5584
10028,2023,20,2,3.5088,3.944,3.7943,4.3792,8.9287,13.5473,0.5519
10028,2024,20,2,4.2148,4.5847,4.0431,4.8102,9.0255,13.7985,0.5555
10028,2025,20,2,4.6326,4.1782,3.8638,5,9.0665,15.9807,0.5219
10029,2020,22,2,3.5658,3.0852,2.9412,3.6057,8.42,8.7798,0.4719
10029,2021,22,2,3.7385,3.7557,3.0259,3.9513,8.3665,7.187,0.4732
10029,2022,22,2,3.4404,4.0583,3.989,4.0645,8.1489,9.2016,0.4413
10029,2023,22,2,4.0473,4.1372,3.8476,5,8.1921,8.0714,0.4729
10029,2024,22,2,4.2766,3.5485,3.6056,4.8843,8.3153,8.298,0.4646
10029,2025,22,2,4.0822,4.1447,4.5099,5,8.2544,9.0103,0.4721
10030,2020,15,2,3.1678,3.8022,3.2369,4.0096,8.6982,8.1264,0.5311
10030,2021,15,2,3.2492,3.0241,3.8601,3.9524,9.1751,6.907,0.5426
10030,2022,15,2,3.6615,3.6313,3.8248,3.6681,8.8488,7.8743,0.5324
10030,2023,15,2,4.2968,4.0566,3.9333,4.2673,9.0654,8.6812,0.5357
10030,2024,15,2,3.9761,4.2322,3.8466,4.7591,9.124,8.7642,0.5121
10030,2025,15,2,4.2429,4.318,4.514,4.5097,8.9322,9.0795,0.5486
10031,2020,26,2,3.5318,4.1763,3.7266,4.3158,9.4331,17.3576,0.4503
10031,2021,26,2,4.3967,3.781,3.8102,4.7585,9.2968,18.2507,0.4669
10031,2022,26,2,4.3616,4.5449,4.1738,5,9.4548,16.9537,0.4723
10031,2023,26,2,4.7648,4.171,3.9775,5,9.4389,17.8778,0.4478
10031,2024,26,2,4.2446,4.5922,4.7963,5,9.393,16.5357,0.4643
10031,2025,26,2,4.8623,4.1046,3.8701,5,9.5147,17.131,0.4593
10032,2020,20,2,3.8566,3.664,3.5351,4.7435,9.5988,12.0861,0.3388
10032,2021,20,2,4.2575,3.9284,3.7805,4.4384,9.5668,14.4735,0.378
10032,2022,20,2,4.1645,4.3169,4.1773,5,9.652,14.9043,0.3715
10032,2023,20,2,4.5813,4.1698,3.9804,4.9114,9.452,12.9318,0.3837
10032,2024,20,2,4.124,4.7644,4.3233,4.9895,9.7095,17.1711,0.3471
10032,2025,20,2,4.4821,4.5808,4.6849,5,9.4597,14.456,0.3575
10033,2020,23,2,3.3972,3.3419,3.1477,4.6001,9.3044,10.8279,0.4394
10033,2021,23,2,3.7021,4.0788,3.7699,3.9099,9.223,10.8824,0.4334
10033,2022,23,2,3.3737,3.9453,3.9525,4.5427,9.2715,9.6966,0.4379
10033,2023,23,2,3.8968,4.3341,3.9127,4.7186,9.1397,11.3769,0.4389
10033,2024,23,2,4.292,4.6238,3.9736,4.7955,9.1488,10.6863,0.4448
10033,2025,23,2,3.646,4.7466,4.1753,5,9.1582,10.7331,0.4347
10034,2020,26,3,3.1307,3.1403,3.033,3.314,8.765,7.908,0.3335
10034,2021,26,3,2.9623,3.468,2.7928,3.5597,8.6492,8.6039,0.3674
10034,2022,26,3,3.4784,3.7252,3.3009,4.2154,8.713,8.7301,0.3202
10034,2023,26,3,3.6951,3.5614,3.6711,3.9913,8.8076,7.4432,0.3302
10034,2024,26,3,3.2373,3.8152,4.0244,4.5447,8.815,8.3898,0.3167
10034,2025,26,3,4.3568,3.739,3.6684,4.212,8.9121,8.8972,0.3203
10035,2020,6,3,3.6777,3.3073,3.6221,3.2408,9.8919,9.1804,0.305
10035,2021,6,3,3.3944,3.6932,3.3657,4.1423,9.8729,8.4423,0.3237
10035,2022,6,3,3.1512,3.636,3.619,4.0638,9.7809,10.2188,0.3092
10035,2023,6,3,3.597,4.0374,3.7731,4.9541,9.7676,8.4332,0.3142
10035,2024,6,3,4.048,4.2207,4.0299,4.4322,9.833,9.1698,0.3391
10035,2025,6,3,3.7668,4.4419,3.8311,4.8973,9.8809,9.6161,0.2857
10036,2020,6,3,2.632,3.2733,3.204,3.5078,8.2616,9.318,0.3774
10036,2021,6,3,3.3947,3.605,3.0213,3.7258,8.2021,9.4838,0.4055
10036,2022,6,3,3.7632,3.9249,3.2207,3.7693,8.3535,10.1342,0.4261
10036,2023,6,3,3.5029,3.8598,3.079,3.9521,8.2887,9.2952,0.4166
10036,2024,6,3,3.0464,4.0794,3.6547,4.5938,8.0813,9.1247,0.3952
10036,2025,6,3,4.3893,3.5699,3.6292,4.5155,8.4451,10.3476,0.4117
10037,2020,3,1,4.4549,4.9395,4.4207,5,11.4419,20.5515,0.4034
10037,2021,3,1,4.5768,5,4.3756,5,11.5296,21.8147,0.4126
10037,2022,3,1,5,5,4.8802,5,11.5579,20.4895,0.4093
10037,2023,3,1,5,5,4.636,5,11.8085,22.2265,0.4211
10037,2024,3,1,5,5,4.6211,5,11.5579,23.4087,0.4043
10037,2025,3,1,4.8417,5,4.8903,5,11.5406,22.4357,0.4071
10038,2020,31,2,4.2178,4.2517,3.6016,4.821,9.0989,15.3188,0.5058
10038,2021,31,2,4.1102,4.021,3.8757,4.2403,9.2985,16.3116,0.4858
10038,2022,31,2,4.1628,3.799,3.7674,4.6461,8.9747,15.5974,0.4729
10038,2023,31,2,4.0995,4.3218,4.0126,5,9.0753,16.2314,0.4417
10038,2024,31,2,4.2721,4.3274,4.1049,5,9.0769,16.9866,0.4647
10038,2025,31,2,4.6315,4.2171,4.5269,5,9.2622,17.3393,0.4712
10039,2020,6,1,4.5798,4.4649,3.4084,4.709,10.3476,15.1236,0.5684
10039,2021,6,1,4.4683,4.6622,4.0508,4.9276,10.541,12.2535,0.5712
10039,2022,6,1,4.2272,4.3997,4.5448,5,10.2936,16.6816,0.5805
10039,2023,6,1,4.5839,4.8958,4.4549,5,10.6147,14.1661,0.5626
10039,2024,6,1,4.3158,5,5,5,10.4691,16.5143,0.5481
10039,2025,6,1,5,4.9994,4.6358,5,10.593,15.4342,0.5377
10040,2020,30,3,2.9646,3.6861,3.51,3.9813,7.8342,13.2449,0.4632
10040,2021,30,3,3.5131,3.734,3.4743,3.6745,7.9435,12.7151,0.4355
10040,2022,30,3,3.2569,3.8789,3.7949,3.9032,7.9107,13.0348,0.4406
10040,2023,30,3,3.719,3.4222,3.3695,4.3484,7.9042,13.1737,0.4644
10040,2024,30,3,3.8898,4.0113,3.5728,4.8406,7.8308,13.648,0.4319
10040,2025,30,3,4.4174,3.9648,3.8737,5,7.8168,14.8666,0.4563
10041,2020,25,3,3.44,3.1793,3.0562,3.4765,8.0501,8.2459,0.4586
10041,2021,25,3,3.6051,3.7084,3.2816,4.1715,8.0609,8.9854,0.4515
10041,2022,25,3,3.4788,3.0444,3.2985,4.7104,8.1067,9.2574,0.4779
10041,2023,25,3,3.5147,3.0386,3.8375,4.2055,7.8515,9.6502,0.4396
10041,2024,25,3,3.5971,3.7601,4.1034,4.2763,7.9717,9.3466,0.4686
10041,2025,25,3,3.6454,3.8421,3.5793,4.4617,8.1354,10.0078,0.4572
10042,2020,9,2,3.7044,3.8305,3.2555,4.3843,8.6417,14.2126,0.4093
10042,2021,9,2,3.7076,4.3147,3.8283,4.4191,8.7309,14.3703,0.4126
10042,2022,9,2,3.5589,3.966,3.6552,4.4898,8.6482,14.348,0.3751
10042,2023,9,2,4.4109,4.1377,3.9837,5,8.7131,14.8728,0.3952
10042,2024,9,2,4.5396,4.3628,4.3816,4.9808,8.7565,15.6337,0.4003
10042,2025,9,2,4.58,4.7591,4.42,5,8.7228,17.1036,0.3946
10043,2020,3,3,3.4189,3.3108,2.7554,3.1761,8.6184,8.0904,0.4623
10043,2021,3,3,3.3222,3.6566,3.0586,4.0131,8.699,9.1108,0.458
10043,2022,3,3,3.3667,4.1174,2.9,4.0585,8.7876,7.3256,0.4678
10043,2023,3,3,3.9658,3.7184,3.48,4.4614,8.7542,8.0437,0.4506
10043,2024,3,3,3.7271,3.8628,3.6573,4.3461,8.4328,9.9261,0.4586
10043,2025,3,3,3.4871,4.1227,3.8821,4.6073,8.8468,9.8033,0.4541
10044,2020,18,2,3.5983,3.3299,3.7488,3.9472,9.1928,9.0809,0.4673
10044,2021,18,2,3.5398,3.5562,3.3772,2.949,9.3035,9.9131,0.4882
10044,2022,18,2,3.6015,4.1067,3.5452,4.1696,9.4296,8.3416,0.4882
10044,2023,18,2,4.2706,4.1555,3.5658,4.6708,9.3981,10.1718,0.4939
10044,2024,18,2,4.2219,4.0985,4.0901,4.8335,9.4137,10.0488,0.4875
10044,2025,18,2,5,4.3788,3.8313,4.7534,9.3281,10.968,0.4968
10045,2020,9,1,4.6154,4.3482,4.2825,4.1465,10.31,16.2623,0.6627
10045,2021,9,1,4.5047,4.5104,3.9485,4.5031,10.2051,16.3317,0.6534
10045,2022,9,1,4.5498,4.7952,4.2477,5,10.3042,15.1029,0.6708
10045,2023,9,1,4.6251,4.6792,4.6186,5,10.4205,16.5566,0.6498
10045,2024,9,1,5,5,4.7632,5,10.2531,17.0658,0.6444
10045,2025,9,1,4.7458,5,5,5,10.1506,17.9266,0.6552
10046,2020,19,2,3.4342,3.8759,3.4144,4.4765,9.2862,11.7814,0.3976
10046,2021,19,2,4.4079,4.067,4.1756,4.3456,9.6567,12.7834,0.4135
10046,2022,19,2,4.5259,4.3963,4.3853,4.6155,9.1899,13.4022,0.3943
10046,2023,19,2,4.1322,4.3053,4.2997,4.5607,9.437,14.2449,0.3725
10046,2024,19,2,4.4433,4.656,4.1684,5,9.5212,13.0219,0.3856
10046,2025,19,2,4.9247,4.687,3.985,4.9647,9.3054,13.5317,0.3727
10047,2020,6,2,3.4222,3.6819,3.6919,4.3595,9.0513,13.4092,0.3793
10047,2021,6,2,3.9604,4.225,3.3641,4.5912,8.9971,15.289,0.4317
10047,2022,6,2,3.8286,4.1576,4.0026,4.8812,9.2111,13.9124,0.386
10047,2023,6,2,4.241,4.151,3.9534,4.4416,9.0043,12.2796,0.3971
10047,2024,6,2,4.2766,4.9426,3.6561,4.9526,9.0305,14.8132,0.3992
10047,2025,6,2,4.816,4.5339,4.5946,5,9.1111,14.658,0.4032
10048,2020,2,2,3.4088,3.7841,3.7156,4.2124,9.2744,12.667,0.4688
10048,2021,2,2,3.9567,3.7291,4.0981,4.7114,9.1467,13.808,0.502
10048,2022,2,2,3.5976,3.9406,3.7659,4.7125,9.1497,12.9168,0.5143
10048,2023,2,2,4.4485,4.5825,4.5321,4.2511,9.401,13.3889,0.5141
10048,2024,2,2,4.6089,4.1454,4.0704,4.9857,9.1399,14.7703,0.4967
10048,2025,2,2,3.9786,4.5049,4.2466,4.8433,9.2392,16.0044,0.5383
10049,2020,28,3,3.0301,3.2023,3.2771,3.9091,9.5843,8.7382,0.465
10049,2021,28,3,3.7911,3.5822,3.4593,4.4145,9.6918,9.0624,0.4644
10049,2022,28,3,3.2839,3.7566,3.3921,4.055,9.6589,10.4745,0.4835
10049,2023,28,3,3.5389,3.3946,3.5554,4.6662,9.5894,9.7601,0.4709
10049,2024,28,3,4.5601,4.219,3.4151,4.6795,9.5616,10.413,0.4824
10049,2025,28,3,4.3127,3.8898,4.2097,4.6876,9.6386,9.9314,0.4385
10050,2020,8,3,3.7196,2.8892,3.0291,3.4445,8.0559,8.0229,0.404
10050,2021,8,3,3.3382,3.3581,3.4859,3.6274,8.0362,8.4913,0.4023
10050,2022,8,3,3.2121,3.7254,3.2625,4.5338,7.9563,8.5225,0.3696
10050,2023,8,3,4.0222,4.1039,3.7324,3.4982,8.0446,9.0256,0.3669
10050,2024,8,3,4.2346,3.4686,3.9183,3.8782,7.9794,8.5529,0.3877
10050,2025,8,3,4.3748,3.9534,3.5402,4.491,7.8773,8.9919,0.3887
10051,2020,30,2,3.9777,4.0831,3.6506,5,10.1601,16.3099,0.4518
10051,2021,30,2,4.1072,3.8174,3.3131,4.1322,10.2895,16.3185,0.4892
10051,2022,30,2,4.0992,4.0515,4.1752,4.8922,10.1377,14.9508,0.4581
10051,2023,30,2,4.2867,4.4338,4.2332,5,10.2145,16.7538,0.4926
10051,2024,30,2,4.1705,4.5799,4.0874,5,10.0475,17.5179,0.4739
10051,2025,30,2,4.3081,4.3357,4.1184,5,10.0068,16.2271,0.4567
10052,2020,4,3,3.0728,3.3086,3.0992,4.1601,8.8181,11.5003,0.4167
10052,2021,4,3,3.6847,3.7814,3.5776,4.6174,8.8387,11.5923,0.4059
10052,2022,4,3,2.7183,3.5828,4.0013,4.02,9.0713,10.9273,0.4605
10052,2023,4,3,3.73,4.0711,3.7961,4.3185,9.0217,10.806,0.4154
10052,2024,4,3,3.4531,3.8848,3.496,4.4703,9.0937,10.7265,0.4094
10052,2025,4,3,4.6844,3.9506,3.824,4.9714,9.1257,13.4311,0.4256
10053,2020,11,3,3.3411,3.3634,3.445,3.0659,8.9658,8.0052,0.3405
10053,2021,11,3,3.633,3.7442,2.9264,3.7744,8.9905,8.6495,0.3403
10053,2022,11,3,3.5201,3.7199,3.3285,4.2484,8.8485,9.7787,0.3838
10053,2023,11,3,3.5012,3.2754,3.9436,3.9337,8.8766,8.597,0.3585
10053,2024,11,3,4.0462,4.2436,3.9341,4.5508,9.0084,8.7483,0.3445
10053,2025,11,3,4.1472,4.1015,4.1386,4.6854,9.0127,9.5663,0.356
10054,2020,21,1,4.542,4.1569,3.7586,4.7937,10.2885,10.8293,0.5589
10054,2021,21,1,3.9607,4.1303,4.2303,4.6724,10.1371,13.1303,0.5453
10054,2022,21,1,4.4603,4.5822,4.2348,5,10.2302,10.256,0.5458
